epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.775,2.66082,6.9871,1.49135,0.50777,0.37701,0.38273,0.17198,2.1651,3.24511,1.23467,0.000330601,0.000330601,0.000330601
2,356.036,2.03624,2.58975,1.18142,0.65257,0.5808,0.62683,0.29502,1.93578,2.31048,1.18095,0.000657361,0.000657361,0.000657361
3,527.487,1.93024,1.7706,1.15593,0.79423,0.67542,0.75847,0.33232,1.9364,1.68719,1.17694,0.000977522,0.000977522,0.000977522
4,712.495,1.88537,1.61474,1.11781,0.74623,0.74909,0.78685,0.37301,1.81496,1.41363,1.11503,0.0009703,0.0009703,0.0009703
5,893.138,1.83525,1.36662,1.09922,0.88646,0.85655,0.89127,0.44324,1.69414,1.11836,1.09673,0.0009604,0.0009604,0.0009604
6,1071.62,1.84458,1.3126,1.0799,0.87551,0.80932,0.87042,0.38117,1.80009,1.14952,1.11197,0.0009505,0.0009505,0.0009505
7,1250.9,1.75322,1.17525,1.06575,0.94901,0.84611,0.92206,0.4528,1.70545,0.99509,1.0924,0.0009406,0.0009406,0.0009406
8,1431.36,1.69665,1.08824,1.05753,0.90646,0.84821,0.90598,0.45192,1.70645,1.03187,1.09021,0.0009307,0.0009307,0.0009307
9,1610.73,1.6924,1.05251,1.04816,0.94472,0.88713,0.92889,0.46373,1.68591,0.98023,1.07906,0.0009208,0.0009208,0.0009208
10,1791.54,1.67318,1.01932,1.04556,0.91343,0.89084,0.92754,0.47141,1.68733,0.94587,1.0753,0.0009109,0.0009109,0.0009109
11,1973.76,1.62708,0.95526,1.03079,0.94428,0.92154,0.94343,0.47352,1.67697,0.8831,1.08014,0.000901,0.000901,0.000901
12,2156.75,1.617,0.90971,1.03572,0.93354,0.88446,0.9212,0.4593,1.71174,0.94072,1.08601,0.0008911,0.0008911,0.0008911
13,2338.93,1.64226,0.91421,1.03798,0.93652,0.88446,0.9233,0.45316,1.68549,0.88952,1.07208,0.0008812,0.0008812,0.0008812
14,2522.04,1.61077,0.8909,1.03232,0.96308,0.90699,0.94558,0.48218,1.63944,0.8761,1.06198,0.0008713,0.0008713,0.0008713
15,2693.7,1.53396,0.84798,1.01243,0.94369,0.90492,0.93161,0.48954,1.62114,0.86212,1.06142,0.0008614,0.0008614,0.0008614
