alpha,bilateral,condition,f1,fitness,map50,map50_95,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),per_class_ap,precision,recall,sigma,split
,,clean,0.9577499413859277,0.5151173658193636,0.9419925807705024,0.5151173658193636,0.9419925807705024,0.5151173658193636,0.971886840766151,0.9440184114018955,"[0.6191964416328095, 0.5163311052244164, 0.553657935774813, 0.4784180526378111, 0.48085953422163125, 0.4422411254247002]",0.971886840766151,0.9440184114018955,,val
,,clean,0.9371738326080803,0.4890438280845267,0.9208446489873879,0.4890438280845267,0.9208446489873879,0.4890438280845267,0.9515166546971329,0.923256986658254,"[0.5362116442210922, 0.4687613464801588, 0.5055782004923182, 0.45386677084619204, 0.4899234124035344, 0.47992159406386425]",0.9515166546971329,0.923256986658254,,test
0.5,d7_c75_s75,noisy,0.7017298694056467,0.2944991239292986,0.5766771204053298,0.2944991239292986,0.5766771204053298,0.2944991239292986,0.8200180187659983,0.6132658579533659,"[0.6041475327461368, 0.23496261495889792, 0.36747305179294487, 0.3635433553968683, 0.10789299472457367, 0.08897519395637042]",0.8200180187659983,0.6132658579533659,10,val
0.5,d7_c75_s75,noisy,0.6467673459165716,0.27054848248373653,0.5106952741217322,0.27054848248373653,0.5106952741217322,0.27054848248373653,0.7811205687798721,0.5518489788809985,"[0.5106614441832114, 0.21452639490101388, 0.3209054855232487, 0.3160211814060564, 0.12430833333333333, 0.13686805555555553]",0.7811205687798721,0.5518489788809985,10,test
0.5,d7_c75_s75,bilateral,0.9519043524366352,0.4990094443219832,0.9290928536057864,0.4990094443219832,0.9290928536057864,0.4990094443219832,0.9652312950787284,0.938940407914305,"[0.5912720598485632, 0.5019316401810441, 0.5584983204555192, 0.4994648697418219, 0.4656216905461356, 0.377268085158815]",0.9652312950787284,0.938940407914305,10,val
0.5,d7_c75_s75,bilateral,0.9429181466688908,0.4889379245802375,0.9095268228065431,0.4889379245802375,0.9095268228065431,0.4889379245802375,0.9636929920206659,0.9230201084265123,"[0.5872504563738847, 0.4621571275433515, 0.5030313883284472, 0.4587316588888898, 0.49495499982473656, 0.42750191652211555]",0.9636929920206659,0.9230201084265123,10,test
0.5,d7_c75_s75,agcwd,0.3599428031666966,0.10615880442378622,0.2417644999305213,0.10615880442378622,0.2417644999305213,0.10615880442378622,0.7113471378217628,0.24092583209077065,"[0.4248426257128954, 0.013080728706372188, 0.09295681548184576, 0.104072656641604, 0.0, 0.002]",0.7113471378217628,0.24092583209077065,10,val
0.5,d7_c75_s75,agcwd,0.27448971864659855,0.08149816850375477,0.1824606138057631,0.08149816850375477,0.1824606138057631,0.08149816850375477,0.5519729319963419,0.18266293601453398,"[0.3334368302178371, 0.0443950379475487, 0.03525, 0.07590714285714287, 0.0, 0.0]",0.5519729319963419,0.18266293601453398,10,test
0.5,d7_c75_s75,member3,0.8891304601969898,0.43651154796461705,0.8213324860326691,0.43651154796461705,0.8213324860326691,0.43651154796461705,0.9581425556988742,0.8293918841597617,"[0.6042593209114834, 0.4890100183618727, 0.534512462611554, 0.4365512522798012, 0.34791237973674993, 0.20682385388624155]",0.9581425556988742,0.8293918841597617,10,val
0.5,d7_c75_s75,member3,0.8553468223000125,0.42101116509344116,0.7690830503446863,0.42101116509344116,0.7690830503446863,0.42101116509344116,0.9469542644015712,0.7799000443089114,"[0.597236858974359, 0.4160755026810515, 0.48687046067855067, 0.4167855317849968, 0.35147995347564315, 0.25761868296604606]",0.9469542644015712,0.7799000443089114,10,test
