agcwd_alpha,bilateral_diameter,bilateral_sigma_color,bilateral_sigma_space,checkpoint,condition_id,conf,dataset_split,device,evaluation_preprocessing,f1,gamma,imgsz,iou,map50,map50_95,member,model_id,precision,primary_metric,processing_time_ms,psnr,recall,ssim,technique,training_preprocessing,validation_images,workers
0.75,5,25.0,25.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,bilateral_d5_c25_s25,0.25,val,mps,Bilateral Filtering (d5_c25_s25),0.9682321863259451,1.0,1024,0.7,0.9546288056686821,0.523034631185784,Member 3,YOLOv8s baseline,0.9717279690777759,mAP50-95,30.300066123188262,40.59955619864024,0.9647614655089268,0.9556865084669691,bilateral,None (frozen clean baseline),138,0
0.75,7,50.0,50.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,bilateral_d7_c50_s50,0.25,val,mps,Bilateral Filtering (d7_c50_s50),0.9628153080472556,1.0,1024,0.7,0.9459418891728378,0.520784551403435,Member 3,YOLOv8s baseline,0.9707158401780497,mAP50-95,56.35328233333305,36.83716883868624,0.9550423405264884,0.9143794834929614,bilateral,None (frozen clean baseline),138,0
0.75,9,75.0,75.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,bilateral_d9_c75_s75,0.25,val,mps,Bilateral Filtering (d9_c75_s75),0.9554676857998101,1.0,1024,0.7,0.9383747859770226,0.5159655979099524,Member 3,YOLOv8s baseline,0.9674182888906934,mAP50-95,87.91112442029139,34.87096243436613,0.9438087336188246,0.8860730991256509,bilateral,None (frozen clean baseline),138,0
,,,,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,original,0.25,val,mps,Original image,0.9579308082178897,1.0,1024,0.7,0.9432602248639056,0.5148239224011822,Member 3,YOLOv8s baseline,0.9740485943346567,mAP50-95,0.0,inf,0.9423377481157292,1.0,original,None (frozen clean baseline),138,0
0.75,9,75.0,75.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,combined_d9_c75_s75_a0.75_g1.2,0.25,val,mps,"Bilateral Filtering + AGCWD (d9_c75_s75, gamma=1.2)",0.9126668501278878,1.2,1024,0.7,0.8988865927760982,0.48911368060179494,Member 3,YOLOv8s baseline,0.9195188243640304,mAP50-95,155.36197645652229,12.585659732627155,0.905916238220963,0.49968733982234076,combined,None (frozen clean baseline),138,0
0.75,9,75.0,75.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,combined_d9_c75_s75_a0.75_g0.8,0.25,val,mps,"Bilateral Filtering + AGCWD (d9_c75_s75, gamma=0.8)",0.9238292256043271,0.8,1024,0.7,0.9093073667590573,0.48822874089134116,Member 3,YOLOv8s baseline,0.9336226525947708,mAP50-95,155.04294958695343,9.746703501819578,0.9142391261048868,0.36851327690945357,combined,None (frozen clean baseline),138,0
0.75,7,50.0,50.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,combined_d7_c50_s50_a0.75_g0.8,0.25,val,mps,"Bilateral Filtering + AGCWD (d7_c50_s50, gamma=0.8)",0.9303508120078748,0.8,1024,0.7,0.9078743444820025,0.48502865318369864,Member 3,YOLOv8s baseline,0.9696361841408859,mAP50-95,123.2788511086995,9.771399583221159,0.8941248263138432,0.3761183723337337,combined,None (frozen clean baseline),138,0
0.75,9,75.0,75.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,combined_d9_c75_s75_a0.75_g1,0.25,val,mps,"Bilateral Filtering + AGCWD (d9_c75_s75, gamma=1)",0.918125105928132,1.0,1024,0.7,0.8991536849858228,0.48365152413565776,Member 3,YOLOv8s baseline,0.9306119412191062,mAP50-95,155.79245231159032,11.24534615533509,0.9059689275300888,0.4260907255088188,combined,None (frozen clean baseline),138,0
0.75,7,50.0,50.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,combined_d7_c50_s50_a0.75_g1.2,0.25,val,mps,"Bilateral Filtering + AGCWD (d7_c50_s50, gamma=1.2)",0.9168031238304956,1.2,1024,0.7,0.8949078656803078,0.4832510874575709,Member 3,YOLOv8s baseline,0.966444129741549,mAP50-95,123.36650607247219,12.611904176565751,0.8720125568864064,0.506640680104037,combined,None (frozen clean baseline),138,0
0.75,7,50.0,50.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,combined_d7_c50_s50_a0.75_g1,0.25,val,mps,"Bilateral Filtering + AGCWD (d7_c50_s50, gamma=1)",0.9219628673836102,1.0,1024,0.7,0.897573470663759,0.4788827200803124,Member 3,YOLOv8s baseline,0.9471720331060444,mAP50-95,123.14309989855215,11.270989151396995,0.8980608063999077,0.43421012947561805,combined,None (frozen clean baseline),138,0
0.75,5,25.0,25.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,combined_d5_c25_s25_a0.75_g0.8,0.25,val,mps,"Bilateral Filtering + AGCWD (d5_c25_s25, gamma=0.8)",0.9349159441483899,0.8,1024,0.7,0.8923395982395901,0.47526861555113087,Member 3,YOLOv8s baseline,0.9679164210538453,mAP50-95,96.68246556521599,9.806165034077418,0.9040915349628574,0.38551257975795883,combined,None (frozen clean baseline),138,0
0.75,5,25.0,25.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,combined_d5_c25_s25_a0.75_g1.2,0.25,val,mps,"Bilateral Filtering + AGCWD (d5_c25_s25, gamma=1.2)",0.8722649649690238,1.2,1024,0.7,0.8738684707918511,0.4687796290671601,Member 3,YOLOv8s baseline,0.8581599022691434,mAP50-95,96.65101574637941,12.655258491535143,0.886841449155852,0.514174605645708,combined,None (frozen clean baseline),138,0
0.75,5,25.0,25.0,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,combined_d5_c25_s25_a0.75_g1,0.25,val,mps,"Bilateral Filtering + AGCWD (d5_c25_s25, gamma=1)",0.9008336440320525,1.0,1024,0.7,0.8840815613021499,0.46809745078857984,Member 3,YOLOv8s baseline,0.9699248091129958,mAP50-95,96.27521413768382,11.309416154817365,0.8409311521010968,0.4436223989403898,combined,None (frozen clean baseline),138,0
0.75,,,,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,agcwd_a0.75_g0.8,0.25,val,mps,AGCWD + gamma=0.8,0.9010270470659493,0.8,1024,0.7,0.8490020645143552,0.44677699936596393,Member 3,YOLOv8s baseline,0.964501407198138,mAP50-95,66.11490157970954,9.813510536210558,0.8453913822070044,0.36014741679001144,agcwd_gamma,None (frozen clean baseline),138,0
0.75,,,,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,agcwd_a0.75_g1,0.25,val,mps,AGCWD + gamma=1,0.8623092708280246,1.0,1024,0.7,0.8213246978010469,0.4329753955527707,Member 3,YOLOv8s baseline,0.9222192009214103,mAP50-95,65.62542541304451,11.311098487567833,0.8097083586844184,0.4108526430938926,agcwd_gamma,None (frozen clean baseline),138,0
0.75,,,,/Users/tanzhengyang/Documents/GitHub/Image_Processing/runs/baseline/weights/best.pt,agcwd_a0.75_g1.2,0.25,val,mps,AGCWD + gamma=1.2,0.833613821327124,1.2,1024,0.7,0.8103023054997519,0.42994916486165996,Member 3,YOLOv8s baseline,0.851752358283438,mAP50-95,65.90598614492669,12.648426236056778,0.8162317160675112,0.4803021787095264,agcwd_gamma,None (frozen clean baseline),138,0
